OGC:OpenSearch			55	
application/x-matroska			54	
application/vnd.enliven	.nml		54	
text/vcard			53	
application/dat			52	
application/vnd.ecowin.chart	.mag		52	
application/vnd.americandynamics.acc	.acc		51	
application/pjnz			51	
text/x-comma-separated-values			50	
Arcgis Mapserver			50	
application/x-sas-catalog			50	
WMTS			49	
application/x-fasta			48	
text/tab			48	
png			47	
text/calendar	.ics,.ifb		47	
video/ogg	.ogv	video	46	
application/softgrid-do			46	
rdf			46	
application/x-matlab-figure			45	
shape			45	
MAPML			45	
application/xml-dtd	.dtd		45	
TXT			43	
application/x-r-data			43	
audio/x-ms-wma	.wma		43	
igis_wms			43	
application/vnd.oasis.opendocument.chart	.odc		43	
application/vnd.ogc.wmc			43	
application/csv; charset=utf-8			43	
text/html; charset=UTF-8			42	
application/x-zipped-shp			41	
application/vnd.koan	.skd,.skm,.skp,.skt		41	
application/x-emf			41	
multipart/x-zip			40	
text/TXT			40	
application/x-gameboy-rom			40	
application/x-esri-shape			40	
26			40	
25			40	
gml			39	
application/p21			39	
file			39	
application/icms			39	
application/x-json-hypothesis			38	
gpx			37	
WWW:DOWNLOAD-1.0-http--downloaddata			37	
application/sla			37	
text/sis			37	
application/xcap-diff+xml			36	
image/vnd.fst	.fst		36	
audio/wave			35	
DB:POSTGIS			35	
27			35	
mp4			34	
OGC:SOS			34	
application/x-bibtex-text-file			34	
image/webp	.webp		34	WEBP image
model/vrml	.vrml,.wrl		33	
application/x-dtbresource+xml	.res		33	
application/shapefile			33	
application/nappdf			33	
application/x-msexcel			33	
CHTOPO:specialised-geoportal			32	
OGC:WFS-1.1.1-http-get-feature			32	
application/blender			32	
image/x-panasonic-rw			32	
application/vnd.openxmlformats-officedocument.presentationml.pre			32	
29			32	
application/x-tar-compressed			32	
28			31	
application/vnd.dna	.dna		30	
application/opensearchdescription+xml			30	
application/vnd.epson.ssf	.ssf		30	
application/x-gtar	.gtar		30	
application/macbinary			29	
application/vnd.shx			29	
ESRI Hub			28	
REST			28	
docx			28	
application/pgp-signature	.asc,.sig		27	"PGP (Pretty Good Privacy) is an encryption program, and its encryption format which eventually became the OpenPGP standard.<br /><br />Created by Phil Zimmerman in 1991, it got into some legal trouble early on because encryption of this grade was classified as a munition under U.S. law and restricted from export. These laws, while not completely repealed even now, have been considerably liberalized since, and now export of PGP and related software is only restricted when it's being exported to countries such as Iran that are under special sanction. Zimmerman's PGP company was eventually acquired by Network Associates (now McAfee), which eventually rebranded the original command-line-based PGP as ""McAfee E-Business Server"" and sold off all other PGP assets to some PGP developers who formed a new PGP company, which was eventually acquired by Symantec. Meanwhile, the specifications of the file format had been released as the OpenPGP spec and published as an RFC document, making it available for use in other products.<br /><br />GNU Privacy Guard (GnuPG, GPG) is a commonly-used encryption tool using PGP format, running on Linux systems.<br /><br />PGP uses a combination of several encryption techniques applied serially, including symmetric-key and public-key cryptography."
application/x-webarchive			27	
application/x-aportisdoc			27	
application/WMS			27	
30			27	
text/x-markdown	.md,.markdown,.mdown,.markdn		26	"Markdown is a lightweight and human readable markup format for text formatting created by John Gruber and Aaron Swartz. It is similar to various forms of wiki markup. There is no formal specification for the original Markdown, and it has ambiguities that are handled inconsistently by different implementations.<br /><br />An attempt to improve on this situation was done (released 2014-09) by a group unrelated to the originators of Markdown, and was originally dubbed Standard Markdown until John Gruber objected to this name, and it was first renamed ""Common Markdown"" and later CommonMark. Markdeep is an extended Markdown implemented in JavaScript for web use."
application/pkix-attr-cert			26	
text/x-spss-syntax; charset=UTF-8			26	
text/x-web-markdown			26	
audio/mod			26	
application/x-ms-shortcut			25	
SD			25	
xml/soap			25	
iris			24	
OGC API - Features			24	
application/vnd.openxmlformats			24	
application/vnd.llamagraphics.life-balance.exchange+xml	.lbe		24	
application/x-wais-source	.src		24	
image/RWL			24	
application/vnd.wolfram.nb			24	
31			24	
application/x-123			23	
application/x-font-woff			23	
33			23	
application/vnd.sun.xml.calc.template	.stc		23	
32			23	
Web Map Tile Service (WMTS)			22	
WWW:DOWNLOAD-1.1-http--download			22	
WWW:DOWNLOAD:MIF / MID			22	
application/pkcs7-signature	.p7s		22	
tiff (gezippt)			22	
application/x-dbase			22	
application/JSON			22	
esri shapefile			22	
application/x-zip			21	
application/vnd.ms-htmlhelp	.chm		21	
application/x-director	.cct,.cst,.cxt,.dcr,.dir,.dxr,.fgd,.swa,.w3d		21	
34			21	
WWW:DOWNLOAD-1.0-http--related			21	
application/x-spss-sps			21	
application/vnd.ogc.wmts_xml			21	
application/x-mspublisher	.pub		21	
35			20	
application/x-font-type1	.afm,.pfa,.pfb,.pfm		20	
application/rat-file			20	
text/x-uri			20	
WWW:DOWNLOAD:JP2-E80			20	
https://www.iana.org/assignments/media-types/image/png			20	
ESRI:AIMS--http-get-feature			20	
text/x-yaml			20	
text/php			19	
application/n-triples			19	
http:			19	
RDF			19	
application/json; charset=utf-8			19	
application/morphographx.mgxm			19	
application/x-download			19	
audio/vnd.dts	.dts		19	
video/vnd.dlna.mpeg-tts			19	
AODN:FILE-list			19	
application/x-jmp-data			19	
application/yaml	.yaml,.yml		19	YAML (YAML Ain’t Markup Language) is a serialization format. It is a strict superset of JSON, with the addition of syntactically significant newlines and indentation, like Python. Unlike Python, however, YAML doesn’t allow literal tab characters for indentation. It is designed to be human-friendly and work well with modern programming languages for common everyday tasks. It is broadly useful for programming needs ranging from configuration files to Internet messaging to object persistence to data auditing. Together with the Unicode standard for characters, it is also well-suited for internationalization.
WWW:DOWNLOAD-1.0-http download			18	
application/vnd.dynageo	.geo		18	
audio/mp4	.mp4,.m4a,.m4b,.m4p,.m4r,.m4v,.mp4v,.3gp,.3g2,.3ga,.3gpa,.3gpp,.3gpp2,.3gp2		18	MP4 is a multimedia container format defined by MPEG-4 Part 14 (ISO/IEC 14496-14). It is based on the Apple QuickTime format, but is not identical to it.<br /><br />It is a successor to the older MOV format, and is used for video (with H.264 and H.265 codecs) and audio (with AAC and AC-3 codecs).<br /><br />It is used by iTunes for music and video downloads, and by many other services for video streaming. It is also used for video files on Blu-ray discs.
application/vnd			18	
Arcgis Feature			18	
application/fdt+xml			18	
lpk			18	
text/html; charset=iso-8859-1			18	
text/directory			18	
application/vnd.wm.igor.pxp			17	
HTTP:Nedladdning:Atom			17	
text/x-r-doc			17	
https://www.iana.org/assignments/media-types/application/ld+json			17	
application/sql			17	
text/x-c++src			17	
application/vnd.google-apps.document			17	
application/x-sas-transport			17	
text/x-bibtex			16	
application/vnd.openxmlformats-officedocument.wordprocessingml.d			16	
application/java-serialized-object	.ser		16	
gtfs			16	
application/x-pdf			16	
36			16	
39			16	
audio/audible			16	
application/wms			16	
application/vnd.ogc.csw.capabilities.response_xml			16	
https://www.iana.org/assignments/media-types/text/turtle			16	
WWW:BROADCAST			16	
Rest			15	
OGC:WMC-1.1.0-http-get-capabilities			15	
application/Groundwater Level Data Viewer			15	
OGC:GEOPACKAGE			15	
text/x-asm	.asm,.s		15	
image/vnd.microsoft.icon			15	
API			15	
TIFF			15	
38			14	
http://www.opengis.net/def/serviceType/ogc/wmts			14	
application/x-cfs-compressed			14	
model/iges	.iges,.igs		14	
text/rdf			14	
37			14	
text/x-perl-script			14	
chemical/x-gamess-input			14	
application/x-sas-log			14	
video/x-flv	.flv		14	
WCS			14	
multipart/mixed			14	
application/x-python-code	.pyc,.pyo		14	
OAS			14	
application/x-iwork-keynote-sffnumbers			14	
application/xlsx			14	
application/x-bibtex			14	
image/jpg			14	
application/x-archive			14	
image/png;charset=UTF-8			13	
OGC:WCS-http-get-capabilities			13	
application/x-docker-file			13	
jpg			13	
41			13	
40			13	
text/x-makefile			13	
42			13	
text/x-expect			13	
xlb			13	
application/x-stuffit	.sit		13	
https://www.iana.org/assignments/media-types/text/plain			13	
application/aspx			12	
application/vnd.google-earth			12	
chemical/x-mopac-input			12	
NCSS			12	
HTTP:OGC:WFS			12	
OPENDAP			12	
application/vnd.snapgene.dna			12	
model/mesh	.mesh,.msh,.silo		12	
application/x-jmp-report			12	
DSP:ESRI			12	
chemical/x-cdx	.cdx		12	
Standard de données CNIG			12	
Rest Service			12	
APP			12	
application/vnd.wolfram.mathematica			12	
application/vnd.Kinar			12	
image/svg			12	
text/x-jmp-script			12	
"text/html; charset=""utf-8"""			12	
image/x-raw-panasonic			12	
application/tar			11	
application/vnd.lotus-organizer	.org		11	
NeTEx			11	
45			11	
44			11	
arcgis			11	
OGC:WMC			11	
https://www.iana.org/assignments/media-types/application/n-triples			11	
application/vnd.openxmlformats-officedocument.spreadsheetml.template	.xltx		11	
application/x-wine-extension-do			11	
43			11	
http://publications.europa.eu/resource/authority/file-type/CSV			11	
spreadsheet			11	
text/x-stata-syntax; charset=UTF-8			11	
audio/vnd.dlna.adts			11	
46			11	
https://napr.gov.ge/p/567			11	
application/x-ruby			11	
https://www.iana.org/assignments/media-types/image/jpeg			11	
FILE:RASTER			11	
application/vnd.google-earth.kmz+xml			11	
image/x-icon	.ico		11	
application/docx			11	
application/jsv			10	
video/x-smv			10	
48			10	
47			10	
application/vnd.ms-fontobject	.eot		10	
audio/x-ape			10	
ESRI REST: Feature Server			10	
application/vnd.ms-office			10	
Accès à la documentation			10	
image/tiff; application=geotiff			10	
application/x-itunes-itlp			10	
text/html; subtype=emikat			10	
application/xls; charset=utf-8			10	
application/xml;charset=UTF-8			10	
application/vnd.openxmlformats-officedocument.spreadsheetml.shee			10	
text/asp			9	
49			9	
application/force-download			9	
text/x-qml			9	
text/x-julia			9	
test/42			9	
zip/shp			9	
"
        application/vnd.google-earth.kmz
      "			9	
application/wfs			9	
FILE:DOWNLOAD-1.0-file-P-download			9	
extern			9	
https			9	
biosequence/fasta			9	
application/x-tika-ooxml			9	
application/haansoftdocx			9	
application/WMTS			9	
50			9	
REST Service			9	
application/xml+gml			9	
application/PDF			9	
text/JSON			9	
application/xslt+xml	.xslt		9	
WWW:DOWNLOAD-1.0-http--downloadother			8	
57			8	
FILE:other			8	
URL			8	
doc			8	
application/vnd.ms-pkistl			8	
51			8	
binary/octet-stream			8	
58			8	
application/mbox	.mbox		8	
55			8	
ESRI:AIMS--http--configuration			8	
WWW:DOWNLOAD:MIF/MID			8	
https://www.iana.org/assignments/media-types/text/tab-separated-values			8	
Access Database			8	
text/x-common-lisp			8	
54			8	
ESRI:ArcGIS-10.6.1-http--layer			8	
ESRI:ArcGIS-10.6.1-http--configuration			8	
53			8	
image/x-lwo			8	
application/vnd.inquisit.data			8	
chemical/seq-na-genbank			8	
application/x-sas-output			8	
59			8	
application/vnd.mcd	.mcd		8	
Catalogue Service for the Web (CSW)			8	
application/vnd.ms-access			8	
56			8	
52			8	
image/x-eps			8	
64			7	
geotiff			7	
65			7	
application/>octet-stream			7	
application/x-apple-diskimage			7	
image/x-hdr			7	
application/x-javascript			7	
Documentation			7	
62			7	
application/vnd.proteus.magazine	.mgz		7	
application/rpki-ghostbusters			7	
60			7	
MYO:MOTU-DGF			7	
61			7	
WWW:DOWNLOAD:laz			7	
application/mx20			7	
application/nx			7	
OPeNDAP:OPeNDAP			7	
63			7	
GML			7	
67			6	
image/example			6	
text/x-chdr			6	
application/x-Research-Info-Systems			6	
ibge@ibge.gov.br			6	
69			6	
http://seadatanet.maris2.nl/v_cdi_v3/search.asp			6	
application/vnd.epson.msf	.msf		6	
text/HTML			6	
ESRI:ArcGIS--http--configuration			6	
WWW:DOWNLOAD-URL			6	
application/xqgis			6	
model/example			6	
OGC SensorThingsAPI			6	
application/tsv			6	
application/vnd.openxmlformats-officedocument.presentationml.slideshow	.ppsx		6	
Telechargement			6	
application/vnd.mobius.daf	.daf		6	
application/kmz			6	
68			6	
Dataset			6	
application/x-iwork-numbers-sffnumbers			6	
application/vnd.afpc.modca-overlay			6	
JPEG			6	
OGC-WMTS			6	
application/vnd.sqlite3	.db,.sqlite,.sqlite3,.db-wal,.sqlite-wal,.db-shm,.sqlite-shm		6	SQLite is a self-contained, serverless, zero-configuration, transactional SQL database engine. The code for SQLite is in the public domain and is thus free for use for any purpose, commercial or private.
OGC API - features			6	
WWW:DOWNLOAD:ESRI Shapefile			6	
rest service			6	
chemical/x-embl-dl-nucleotide			6	
application/WFS			6	
doi			6	
application/x-turtle			6	
66			6	
application/7-zip			6	
application/vnd.eszigno3+xml	.es3,.et3		6	
70			6	
OGC:API tiles			6	
application/json;charset=UTF-8			5	
image/x-tga			5	
application/vnd.ms-officetheme			5	
Rapport			5	
application/nc			5	
application/vnd.multiad.creator.cif			5	
Accès à la donnée (téléchargement par département)			5	
WWW:DOWNLOAD-1.0-ftp--downloaddata			5	
application/x-python			5	
none			5	
text/x-haxe			5	
https://www.iana.org/assignments/media-types/application/vnd.google-earth.kmz			5	
application/vnd.oasis.opendocument.presentation	.odp		5	
application/epub+zip	.epub		5	
OGC:WFS-1.3.0-http-get-capabilities			5	
text/xml;charset=UTF-8			5	
WWW:DOWNLOAD:SHP			5	
ESRI:AIMS--http-get-image			5	
http://sig.magrama.es/geoportal/			5	
application/x-esri-crs			5	
Pour télécharger la donnée			5	
application/vnd.ms-outlook			5	
text/x-sql			5	
application/x-gzip-compressed			5	
application/x-rss+xml			5	
TURTLE			5	
text/csv;charset=UTF-8			5	
http://www.ideo-base.ieo.es/			5	
diverse			5	
application/x-ms-wmz	.wmz		5	
application/vnd.dbf			5	
application/mx22			5	
WWW:DOWNLOAD:JP2_080			5	
chemical/x-sdlfile			5	
application/x-stata-do			5	
application/x-applix-spreadsheet			5	
ArcGis Feature			5	
Arcgis Feature server			5	
http://barreto.md.ieo.es/arcgis/services/wms/wmsBase/MapServer/WMSServer?			5	
application/x-endnote-connect			5	
application/x-r-project			5	
WEB			4	
Karttataso Oskari-karttapalvelussa			4	
95			4	
application/x-lzh-compressed			4	
130			4	
145			4	
98			4	
112			4	
74			4	
80			4	
94			4	
application/gpkg			4	
126			4	
106			4	
142			4	
application/viplab+json			4	
text/xlsx			4	
application/illustrator			4	
146			4	
81			4	
84			4	
93			4	
LDES			4	
148			4	
application/vnd.arinc			4	
cvs			4	
110			4	
application/vnd.ibm.rights-management	.irm		4	
upload			4	
77			4	
143			4	
90			4	
137			4	
application/x-photoshop			4	
chemical/x-molfile			4	
video/example			4	
88			4	
119			4	
OGC:OUS			4	
129			4	
116			4	
109			4	
Consultation			4	
87			4	
https://www.iana.org/assignments/media-types/application/vnd.hdt			4	
147			4	
"""application/pdf"""			4	
124			4	
131			4	
107			4	
105			4	
100			4	
OGC API – Coverages			4	
92			4	
138			4	
document/unknown			4	
text/SGML			4	
123			4	
application/xhdf5			4	
Feature Service			4	
unknown/unknown			4	
76			4	
121			4	
Mapa en formato PDF			4	
application/x-executable			4	
72			4	
115			4	
99			4	
144			4	
text/x-patch			4	
WWW:DOWNLOAD:GPKG			4	
pptx			4	
91			4	
PDF			4	
82			4	
85			4	
102			4	
application/x-sharedlib			4	
127			4	
83			4	
117			4	
application/x-ole-storage			4	
78			4	
Dataportaal Provincie Noord-Holland			4	
122			4	
audio/x-mpegurl	.m3u		4	
89			4	
75			4	
135			4	
71			4	
application/x-ns-proxy-autoconfig			4	
104			4	
101			4	
103			4	
136			4	
108			4	
application/x-csh	.csh		4	
128			4	
113			4	
application/vnd.android.package-archive	.apk		4	APK is an archive format used for distributing Android apps. It is based on the Jar format (for Java), and like that format, is actually a ZIP archive with a different extension, and with specific files and directories within it.<br /><br />The executable part of the app is usually in either Dalvik Executable (for older Android versions prior to 5.0) or ART format (for newer versions).<br /><br />Metadata about the app is in a META-INF directory within the archive (similarly to Jar files), compiled code is in a lib directory, and resources in a res directory. There are also a few files at the root level including AndroidManifest.xml (which may be regular XML or, often, binary XML).
120			4	
149			4	
79			4	
97			4	
application/vndams-excel			4	
application/ppt			4	
125			4	
139			4	
73			4	
111			4	
132			4	
application/vnd.pmi.widget			4	
WW:DOWNLOAD-1.0-http--download			4	
Web Coverage Service (WCS)			4	
chemical/x-cerius			4	
140			4	
text/x-perl			4	
application/x-dna			4	
OGC:EDR			4	
114			4	
OGC API - Feature			4	
WWW:DOWNLOAD:ASC			4	
96			4	
rss			4	
118			4	
134			4	
141			4	
133			4	
application/x-fasta+txt			4	
86			4	
application/x-shar	.shar		4	
157			3	
UKMT			3	
ArcGis Featureservice			3	
SERVICE			3	
152			3	
https://			3	
166			3	
WWW:WMS			3	
application/rest			3	
https://www.iana.org/assignments/media-types/application/json+gzip			3	
RESTFUL API			3	
unspecified			3	
application/vnd.stardivision.draw	.sda		3	
application/vnd.rim.cod	.cod		3	
application/x-dosexec			3	
text/x-c++hdr			3	
application/softgrid-7z			3	
159			3	
application/asx			3	
test/csv			3	
OGC:WFS-1.1.0-http-describefeaturetype			3	
application/x-octet-stream			3	
application/vnd.chemdraw+xml	.cdxml		3	
Pour télécharger la donnée cliquer ici			3	
Accès WMS			3	
mdb			3	
162			3	
153			3	
text/zip			3	
audio/x-matroska	.mka		3	Matroska Audio files consist of a Matroska container containing one or more audio files compressed with one of the supported codecs. As well as the compressed audio, a Matroska Audio file might also contain embedded lyrics or transcriptions, in the form of SRT subtitles. In addition, Matroska Audio files can be separated into tracks or chapters - it is possible, for example, to contain a whole album or audiobook in a single file while retaining clear separation between tracks.
application/nvivo-project			3	
Image/png			3	
Acte d'engagement			3	
application/mxf	.mxf		3	
application/x-chimera			3	
application/x-dvi	.dvi		3	
168			3	
163			3	
application/a-qgis			3	
apploication/vnd.ms-excel			3	
application/text-plain:formatted			3	
application/vnd.ms-excel.template.macroEnabled.12			3	
application/vnd.openxmlformats-officedocument.wordprocessingml.template	.dotx		3	
application/vnd.google-apps.map			3	
Dirección NAS - SINCHI			3	
156			3	
text/vnd.graphviz	.gv		3	
application/softgrid-sps			3	
151			3	
tesxt/json			3	
application/x-latex	.latex		3	
application/Data Download			3	
application/png			3	
160			3	
154			3	
wfs:WFS_Capabilities (WFS 2.0)			3	
application/x-graphpad-prism-pzf			3	
application/haansofthwp			3	
application/x-perl	.pm,.pl		3	
application/xqis			3	
application/ascii			3	
application/vnd.ms-powerpoint.presentation.macroenabled.12	.pptm		3	
155			3	
165			3	
image/cgm	.cgm		3	
text.html			3	
application/vnd.snesdev-page-table			3	
ESRI Shapefile			3	
158			3	
text/gml+xml			3	
167			3	
application/wsdl+xml	.wsdl		3	
Feature service			3	
jpeg			3	
150			3	
Get JSON			3	
ESRI:ArcGIS--http--layer			3	
application/shapefiles			3	
audio/x-ms-wmv			3	
image/x-applix-graphics			3	
161			3	
application/json+gzip			3	
164			3	
application/x-msi			3	
application/dsb			3	
text/x-sfv			3	
wma			3	
WWW:DOWNLOAD:Texte			3	
application/cu-seeme	.cu		3	
application/example			2	
application/x-fityk			2	
application/vnd.oasis.opendocument.database	.odb		2	
hjemmeside			2	
application/smil+xml	.smi,.smil		2	
Pelagic Seabird Atlas Average Grid Cell Density, 2009			2	
video/vnd.dece-mp4			2	
WWW:DOWNLOAD:GeoTIFF			2	
application/ibooks			2	
text/example			2	
OGC:WNS			2	
RFC:ATOM			2	
Accès au téléchargement - Lien direct WFS Public			2	
https://geodata.tampere.fi/geoserver/ows?service=wfs&version=2.0.0&request=GetCapabilities			2	
WWW:DOWNLOAD:JP2_100 (Normal)			2	
application/KaluzaAnalysis			2	
application/vnd.openxmlformats-officedocument.wordprocessingml.t			2	
application/wps-office.docx			2	
SHP			2	
application/vnd.stardivision.writer	.sdw,.vor		2	
application/x-python-bytecode			2	
WWW:DOWNLOAD:gpkg			2	
image/tif			2	
application/x-desktop			2	
application/vnd.wolfram.player			2	
text/html; charset=utf-8; charset=utf-8			2	
application/x-ms-application	.application		2	
text/x-ms-regedit			2	
http://inspire.ec.europa.eu/id/ats/download-service/3.1/OGC-API-Features			2	
text/html;charset=ISO-8859-1			2	
Pelagic Seabird Atlas Study Area, 2009			2	
text/nlogo			2	
Pelagic Seabird Atlas Survey Effort, 2009			2	
application/applixware	.aw		2	
Téléchargement France entière ou par région			2	
Accés à la documentation			2	
audio/mid			2	
https://kartat.tampere.fi/oskari?zoomLevel=6&coord=331519.3598398452_6823340.254041212&mapLayers=18+100+raster,2461+100+raster&uuid=0ee42977-540a-42e6-9107-bc9767d00fac&noSavedState=true&showIntro=false			2	
Arcgis Feature acces			2	
text/csv; charset=utf-8			2	
LINK-1.0-http--partners			2	
OGC API - features (STAC API)			2	
Accès WMS Public			2	
WWW:DDOWNLOAD-1.0-http--download			2	
OGC:WMTS-http-get-capabilities			2	
application/softgrid-inp			2	
application/vnd.chipnuts.karaoke-mmd	.mmd		2	
svg			2	
Tofino Mudflats Shorebird Surveys, British Columbia - Survey Transects			2	
CSv			2	
xodr			2	
appplication/pdf			2	
rest			2	
image/x-mrsid-image			2	
application/vnd.ms-publisher			2	
application/vnd.rn-realmedia	.rm		2	
WMS/WFS			2	
application/x-font-snf	.snf		2	
text/html;charset=UTF-8			2	
arcgis mapserver			2	
DBF			2	
application/vnd.clustal.aln			2	
pdf/xls			2	
SITO RIFERIMENTO			2	
text/htm			2	
https://kartat.tampere.fi/oskari?zoomLevel=7&coord=328264.66825000057_6821528.745550003&mapLayers=18+100+raster,4537+100+&uuid=0ee42977-540a-42e6-9107-bc9767d00fac&noSavedState=true&showIntro=false			2	
application/x-rtf			2	
text/unknown			2	
image/x-emf			2	
Accès données			2	
Téléchargement France entière ou par régions			2	
applicaton/octet-stream			2	
image/x-wmf			2	
application/hyperstudio	.stk		2	
bin			2	
R			2	
application/vnd.wolfram.cdf			2	
https://tools.ietf.org/html/rfc4287			2	
169			2	
application/rdata			2	
OGC:WCTS			2	
Sensor Observation Service (SOS)			2	
170			2	
INSPIRE WFS			2	
application/htmlf			2	
https://kartta.hsy.fi/geoserver/wms?request=GetCapabilities&service=WMS			2	
arcgis Map			2	
https://www.iana.org/assignments/media-types/application/x-qgis			2	
TEXT/HTML			2	
text/vnd.dvb.subtitle			2	
application/vnd.nexus.nex			2	
text/x-tcl			2	
Atlantic Colonies - Density Analysis			2	
OGC:WFS-1.1.0-http-getgmlobject			2	
application/x-abiword	.abw		2	
audio/x-stm			2	
application/x-pkcs7-crl			2	
text/gff3			2	
application/x-tex-pk			2	
Suunnittelutarvealueet.pdf			2	
application/dwg			2	
image/x-portable-graymap	.pgm		2	
http://inspire.ec.europa.eu/id/ats/download-service/3.1/predefined-atom			2	
CSIRO-INTERNAL-LINK			2	
WWW:DOWNLOAD-1.0-http-get-map			2	
application/x-trash			2	Why even drag this in?
WWW :LINK-1.0-http—link			2	
http://indamar.ieo.es/			2	
Pelagic Seabird Atlas Grids Surveyed, 2009			2	
OGC:API features			2	
sbn			2	
application/x-stuffitx	.sitx		2	
WWW:DOWNLOAD:GeoPackage			2	
https://kartat.tampere.fi/oskari/?lang=fi&uuid=cf237bc6-7977-4812-81da-14a95a4d94cc			2	
http://www.opengis.net/def/serviceType/ogc/wcs			2	
image/jpx			2	
application/x-font-otf	.otf		2	
model/stl			2	
Accès catalogue CARA			2	
text/vtt			2	
Sidney Island Shorebird Surveys, British Columbia - Transects Line			2	
OGC:WMTS-1.0.0-http-get-featureinfo			2	
WWW:DOWNLOAD-OGC:OWS-C			2	
geoJSON			2	
Lisätietoa			2	
application/vnd.ms-pki.seccat	.cat		2	
http://www.emodnet-geology.eu/emodnet/srv/eng/home			2	
application/twbx			2	
text/r			2	
OGC:WFS/OGC-WFS Web Feature Service			2	
application/x-font-linux-psf	.psf		2	
https://kartat.tampere.fi/oskari?zoomLevel=4&coord=344075.3045520923_6828220.603176316&mapLayers=18+100+raster,2001+100+&uuid=0ee42977-540a-42e6-9107-bc9767d00fac&noSavedState=true&showIntro=false			2	
ArcGIS Server Map Service			2	
biosequence/phylip			2	
application/vnd.ms-word.document.12			2	
application/jpeg			2	
http://			2	
application/DCD			2	
https://www.kuopio.fi/meluselvitykset-2022			2	
sbx			2	
WWW:https://kartat.tampere.fi/oskari/			2	
Tofino Mudflats Shorebird Surveys, British Columbia - Survey Areas			2	
text/xls			2	
application/irp			2	
image/vnd.radiance			2	
text/x-rst			2	
APPLICATION/HTML			2	
audio/x-sd2			2	
application/wordperfect			2	
Accès à la métadonnées sur le catalogue SIGENA			2	
tsv			2	
https://www.opengis.net/def/serviceType/ogc/wfs			2	
text/x-readme			2	
image/x-cmx	.cmx		2	
application/x-osptracker			2	
GIS Shape			2	
WWW:Download			2	
sigar.agglo-larochelle.fr			2	
WAF			2	
OGC:WCS-1.1.1-http-describecoverage			2	
video/x-dv			2	
application/zip; charset=utf-8			2	
Provincias del departamento de San Martín			1	
ArcGis Map Services			1	
242			1	
216			1	
WMTS - ORTHOIMAGERY.ORTHOPHOTOS2014			1	
218			1	
188			1	
196			1	
GeoJSON			1	
"Productores Beneficiarios del ""Proyecto Arroz"""			1	
application/vnd.nitf			1	
Accès à la métadonnée des habitats naturels sur le catalogue SIGENA (avec lien de téléchargement des données)			1	
application/xhtml+xml;charset=UTF-8			1	
http://wms.magrama.es/sig/Biodiversidad/RiquezaEspecies/wms.aspx			1	
8.0			1	
application/mipc			1	
REST-API			1	
application/haansoftxls			1	
application/zstd			1	
application/x-jdf			1	
Accès à la métadonnées sur le catalogue interministériel (avec liens pour le téléchargement et la consultation des données)			1	
application/vnd.visio	.vsd,.vss,.vst,.vsw,.vsdx,.vssx,.vstx,.vssm,.vstm		1	
250			1	
WWW:DOWNLOAD-1.0-ftp--dowload			1	
"Shapefile de productores beneficiarios del ""Proyecto Maíz"""			1	
217			1	
176			1	
199			1	
233			1	
WWW:DOWNLOAD:WFS			1	
Límites			1	
cad			1	
182			1	
WWW:DOWLOAD-1.0-http--download			1	
236			1	
https://www.iana.org/assignments/media-types/application/vnd.oasis.opendocument.spreadsheet			1	
application/vnd.apple.installer+xml	.mpkg		1	
Memoria descriptiva de la superficie agrícola del departamento San Martín 2022			1	
"Shapefile de productores beneficiarios del ""Proyecto Naranja"""			1	
228			1	
259			1	
application/vnd.stardivision.impress	.sdd		1	
application/softgrid-tex			1	
appication/xml			1	
application/x-font-pcf	.pcf		1	
266			1	
"Shapefile del productores beneficiarios del ""Proyecto cacao"""			1	
application/nvivo-qdpx-project			1	
CVS			1	
application/x-wine-extension-opj			1	
204			1	
251			1	
FILE			1	
application/attachment			1	
Turtle			1	
OGC: WFS			1	
application/gxf			1	
http://www.magrama.gob.es/ide/metadatos/index.html?srv=metadata.show&uuid=7672013f-69a7-49c9-b7f4-9aaaa525c6d3			1	
application/x-wtt			1	
"Productores beneficiarios del ""proyecto Café"""			1	
Arcgis mapserver			1	
Accès à la métadonnée des ZNIEFF de type 1 sur le catalogue SIGENA			1	
186			1	
application/vnd.ogc.csw_xml			1	
Secteur de collecte des déchets 2024 - WFS			1	
chemical/x-jcamp-dx			1	
application/x-qgis-project-container			1	
WWW:DOWNLOAD:EDIGEO			1	
GDB de la Zonificación Forestal del Departamento de San Martín			1	
text/x-emacs-lisp			1	
application/x-qtiplot			1	
Accès à la métadonnée des ZSC et SIC sur le catalogue SIGENA			1	
application/wps-office.pdf			1	
262			1	
GDB Supervisiones Ambientales			1	
WFS (Carte forestière V2)			1	
application/x-iwork-pages-sffpages			1	
GZ			1	
Protocole : WWW:DOWNLOAD-1.0-http--download			1	
193			1	
249			1	
230			1	
Accès téléchargement (France entière - 2010)			1	
LAS/LAZ, Tiff			1	
212			1	
253			1	
doi10.5194hess-17-3707-2013			1	
254			1	
258			1	
175			1	
XSL			1	
application/vnd.fdsn.mseed	.mseed		1	
application/vnd.hp-hps	.hps		1	
INSPIRE Atom feed			1	
application/scvp-vp-request	.spq		1	
265			1	
240			1	
189			1	
application/x-info			1	
Accès à la métadonnée des ZPS sur le catalogue SIGENA			1	
205			1	
260			1	
chemical/x-molconn-Z			1	
application/rcp			1	
OGC:WMTS-1.0.0-http-get-map			1	
Téléchargement des données			1	
